day,snapshot_block,holder,upeg_tokens,price_usd,holding_usd,balance_raw
2026-05-01,25003542,0xfd7db13b002f927891ab20ebbca890c1b5a459fd,0.0,1580.381458,0.0,0
2026-05-02,25010735,0xfd7db13b002f927891ab20ebbca890c1b5a459fd,0.0,1708.443613,0.0,0
2026-05-03,25017913,0xfd7db13b002f927891ab20ebbca890c1b5a459fd,0.0,1868.095055,0.0,0
2026-05-04,25025076,0xfd7db13b002f927891ab20ebbca890c1b5a459fd,0.0,1299.026352,0.0,0
2026-05-05,25032251,0xfd7db13b002f927891ab20ebbca890c1b5a459fd,105.0,1365.306944,143357.22912,105000000000000000000
2026-05-06,25039426,0xfd7db13b002f927891ab20ebbca890c1b5a459fd,119.0,1168.305931,139028.405789,119000000000000000000
2026-05-07,25046605,0xfd7db13b002f927891ab20ebbca890c1b5a459fd,120.0,773.288703,92794.64436,120000000000000000000
2026-05-08,25053792,0xfd7db13b002f927891ab20ebbca890c1b5a459fd,123.0,820.604755,100934.384865,123000000000000000000
2026-05-09,25060963,0xfd7db13b002f927891ab20ebbca890c1b5a459fd,119.0,1330.490643,158328.386517,119000000000000000000
2026-05-10,25068131,0xfd7db13b002f927891ab20ebbca890c1b5a459fd,120.0,1111.616422,133393.97064,120000000000000000000
2026-05-11,25075302,0xfd7db13b002f927891ab20ebbca890c1b5a459fd,123.0,927.768244,114115.494012,123000000000000000000
2026-05-12,25082470,0xfd7db13b002f927891ab20ebbca890c1b5a459fd,127.0,760.971898,96643.431046,127000000000000000000
2026-05-13,25089638,0xfd7db13b002f927891ab20ebbca890c1b5a459fd,127.0,769.216636,97690.512772,127000000000000000000
2026-05-14,25096787,0xfd7db13b002f927891ab20ebbca890c1b5a459fd,127.0,719.123062,91328.628874,127000000000000000000
2026-05-15,25103992,0xfd7db13b002f927891ab20ebbca890c1b5a459fd,129.0,588.552615,75923.28733499999,129000000000000000000
2026-05-16,25111169,0xfd7db13b002f927891ab20ebbca890c1b5a459fd,132.0,706.19513,93217.75716,132000000000000000000
2026-05-17,25118355,0xfd7db13b002f927891ab20ebbca890c1b5a459fd,126.0,728.068384,91736.61638400001,126000000000000000000
2026-05-18,25125529,0xfd7db13b002f927891ab20ebbca890c1b5a459fd,118.0,741.581966,87506.671988,118000000000000000000
2026-05-19,25132716,0xfd7db13b002f927891ab20ebbca890c1b5a459fd,121.0,729.545408,88274.994368,121000000000000000000
2026-05-20,25139893,0xfd7db13b002f927891ab20ebbca890c1b5a459fd,124.0,1035.839671,128444.11920399999,124000000000000000000
2026-05-21,25147067,0xfd7db13b002f927891ab20ebbca890c1b5a459fd,118.0,948.978869,111979.506542,118000000000000000000
2026-05-22,25154235,0xfd7db13b002f927891ab20ebbca890c1b5a459fd,115.0,955.05307,109831.10305,115000000000000000000
2026-05-23,25161413,0xfd7db13b002f927891ab20ebbca890c1b5a459fd,118.0,1299.26016,153312.69888,118000000000000000000
2026-05-24,25168580,0xfd7db13b002f927891ab20ebbca890c1b5a459fd,116.0,1165.02532,135142.93712,116000000000000000000
2026-05-25,25175759,0xfd7db13b002f927891ab20ebbca890c1b5a459fd,119.0,1254.595526,149296.867594,119000000000000000000
2026-05-26,25182938,0xfd7db13b002f927891ab20ebbca890c1b5a459fd,116.0,1545.24218,179248.09287999998,116000000000000000000
2026-05-27,25190103,0xfd7db13b002f927891ab20ebbca890c1b5a459fd,117.0,1554.672076,181896.632892,117000000000000000000
2026-05-28,25197271,0xfd7db13b002f927891ab20ebbca890c1b5a459fd,115.0,1449.666391,166711.634965,115000000000000000000
2026-05-29,25204456,0xfd7db13b002f927891ab20ebbca890c1b5a459fd,115.0,1500.524665,172560.336475,115000000000000000000
2026-05-30,25211628,0xfd7db13b002f927891ab20ebbca890c1b5a459fd,115.0,1269.976583,146047.307045,115000000000000000000
2026-05-31,25218797,0xfd7db13b002f927891ab20ebbca890c1b5a459fd,116.0,1027.133203,119147.45154800001,116000000000000000000
