day,snapshot_block,owner,owned_nfts,price_usd,quote_usd_px,upeg_tokens,weth_tokens,lp_usd
2026-05-01,25003542,0x32a22dba0f4904f008ed817c8724bd5b3421865c,1,1580.381458,2293.57,1.2615477492819205,0.7641584600832563,3746.377590639934
2026-05-02,25010735,0x32a22dba0f4904f008ed817c8724bd5b3421865c,1,1708.443613,2317.63,1.2843303669752013,0.8509634747071283,4166.424490326211
2026-05-03,25017913,0x32a22dba0f4904f008ed817c8724bd5b3421865c,1,1868.095055,2325.07,1.2878952979821339,0.9832916031723713,4692.132645306161
2026-05-04,25025076,0x32a22dba0f4904f008ed817c8724bd5b3421865c,1,1299.026352,2347.2399999999993,1.8453245416376025,0.7649897215905037,4192.73968168566
2026-05-05,25032251,0x32a22dba0f4904f008ed817c8724bd5b3421865c,1,1365.306944,2362.22,1.864134729013693,0.8063535821520353,4449.9006489051335
2026-05-06,25039426,0x32a22dba0f4904f008ed817c8724bd5b3421865c,1,1168.305931,2347.39,2.123039577695182,0.7058901508182737,4137.359211498324
2026-05-07,25046605,0x32a22dba0f4904f008ed817c8724bd5b3421865c,1,773.288703,2292.13,2.790687745977763,0.4345153646485632,3153.9730103370493
2026-05-08,25053792,0x32a22dba0f4904f008ed817c8724bd5b3421865c,1,820.604755,2307.6100000000006,2.7997391552973903,0.5031367435399076,3458.522644356848
2026-05-09,25060963,0x32a22dba0f4904f008ed817c8724bd5b3421865c,1,1330.490643,2327.89,2.0590842046022804,0.8825950531804021,4794.176465720558
2026-05-10,25068131,0x32a22dba0f4904f008ed817c8724bd5b3421865c,1,1111.616422,2373.32,2.366904233758098,0.7230953734741076,4347.226327320397
2026-05-11,25075302,0x32a22dba0f4904f008ed817c8724bd5b3421865c,1,927.768244,2339.66,2.687994639303848,0.584664896964681,3861.7531392207297
2026-05-12,25082470,0x32a22dba0f4904f008ed817c8724bd5b3421865c,1,760.971898,2275.21,3.6423201464969246,0.576536183303985,4083.4441646184623
2026-05-13,25089638,0x32a22dba0f4904f008ed817c8724bd5b3421865c,1,769.216636,2256.78,3.7075613868338917,0.607269155758263,4222.390783075994
2026-05-14,25096787,0x32a22dba0f4904f008ed817c8724bd5b3421865c,1,719.123062,2285.7199999999993,3.9475141354375043,0.5288012682219562,4047.44008716439
2026-05-15,25103992,0x32a22dba0f4904f008ed817c8724bd5b3421865c,1,588.552615,2223.6500000000005,4.436684877076789,0.4032786479444678,3507.9730518362135
2026-05-16,25111169,0x32a22dba0f4904f008ed817c8724bd5b3421865c,1,706.19513,2179.61,3.926497301445404,0.5814035153853286,4040.1061884079027
2026-05-17,25118355,0x32a22dba0f4904f008ed817c8724bd5b3421865c,1,728.068384,2121.49,3.8247807327716323,0.6406570109098,4143.84936933841
2026-05-18,25125529,0x32a22dba0f4904f008ed817c8724bd5b3421865c,1,741.581966,2128.31,3.862931869143112,0.6437863966301963,4234.857635855216
2026-05-19,25132716,0x32a22dba0f4904f008ed817c8724bd5b3421865c,1,729.545408,2112.15,3.883724217098954,0.6366317539974665,4178.0149277286855
2026-05-20,25139893,0x32a22dba0f4904f008ed817c8724bd5b3421865c,1,1035.839671,2127.01,3.032705361623562,0.9844828779364214,5235.401450223634
2026-05-21,25147067,0x32a22dba0f4904f008ed817c8724bd5b3421865c,1,948.978869,2133.94,3.2612715551984195,0.878544883277681,4969.639860175642
2026-05-22,25154235,0x32a22dba0f4904f008ed817c8724bd5b3421865c,1,955.05307,2064.55,3.138755998119282,0.9339987418758321,4925.965654524484
2026-05-23,25161413,0x32a22dba0f4904f008ed817c8724bd5b3421865c,1,1299.26016,2116.71,2.5326557352097585,1.2593400084144908,5956.236284964585
2026-05-24,25168580,0x32a22dba0f4904f008ed817c8724bd5b3421865c,1,1165.02532,2101.1,2.7759539667540354,1.1173596542328428,5581.741027931515
2026-05-25,25175759,0x32a22dba0f4904f008ed817c8724bd5b3421865c,1,1254.595526,2108.99,2.6299878896174773,1.2004761080728286,5831.363146912783
2026-05-26,25182938,0x32a22dba0f4904f008ed817c8724bd5b3421865c,1,1545.24218,2071.5200000000004,2.437577884647674,1.6764797291587883,7239.509452939774
2026-05-27,25190103,0x32a22dba0f4904f008ed817c8724bd5b3421865c,1,1554.672076,2022.37,13.896169423166612,10.177934394943065,42187.53574786316
2026-05-28,25197271,0x32a22dba0f4904f008ed817c8724bd5b3421865c,1,1449.666391,2008.6700000000003,14.7731188224605,9.522008606296023,40542.66687437912
2026-05-29,25204456,0x32a22dba0f4904f008ed817c8724bd5b3421865c,1,1500.524665,2011.12,14.256418915589746,9.902522414992871,41307.26909665543
2026-05-30,25211628,0x32a22dba0f4904f008ed817c8724bd5b3421865c,1,1269.976583,2020.08,16.363313667588823,8.447802605388597,37846.262265215046
2026-05-31,25218797,0x32a22dba0f4904f008ed817c8724bd5b3421865c,1,1027.133203,2001.08,19.05155456216047,6.907744531725431,33391.43368710627
