threshold_pct,horizon,caliper_pct,treated_swap_count,treated_campaign_count,matched_pair_count,match_rate,treated_median_price_impact_bps,control_median_price_impact_bps,median_excess_price_impact_bps,mean_cluster_excess_price_impact_bps,cluster_bootstrap_ci_low,cluster_bootstrap_ci_high,campaign_day_clusters,positive_excess_share
80,1h,0.1,196,55,195,0.9948979591836735,22.076498562865197,18.72500799329324,3.140007077201412,5.790459675592648,-14.259246942946138,26.44574117148947,56,0.7333333333333333
80,1h,0.25,196,55,195,0.9948979591836735,22.076498562865197,18.72500799329324,3.140007077201412,5.790459675592648,-14.259246942946138,26.44574117148947,56,0.7333333333333333
80,1h,0.5,196,55,195,0.9948979591836735,22.076498562865197,18.72500799329324,3.140007077201412,5.790459675592648,-14.259246942946138,26.44574117148947,56,0.7333333333333333
80,6h,0.1,387,59,386,0.9974160206718347,27.286258347630763,18.21750409617684,4.281395547458542,4.143071739443516,-16.035117439544894,24.729460612507484,60,0.772020725388601
80,6h,0.25,387,59,386,0.9974160206718347,27.286258347630763,18.21750409617684,4.281395547458542,4.143071739443516,-16.035117439544894,24.729460612507484,60,0.772020725388601
80,6h,0.5,387,59,386,0.9974160206718347,27.286258347630763,18.21750409617684,4.281395547458542,4.143071739443516,-16.035117439544894,24.729460612507484,60,0.772020725388601
80,24h,0.1,561,59,553,0.9857397504456328,22.827668415388302,16.516390008098902,4.277078807051193,11.52678827647455,-4.078620940274547,28.963867420568015,65,0.7757685352622061
80,24h,0.25,561,59,558,0.9946524064171123,22.827668415388302,16.289564072221594,4.59275617620325,11.37579982335649,-4.124262175236304,28.759093056848645,65,0.7724014336917563
80,24h,0.5,561,59,559,0.9964349376114082,22.827668415388302,16.1797915895856,4.516111378090049,11.31479029304622,-4.146805260168571,28.656518909863056,65,0.7728085867620751
90,1h,0.1,201,54,200,0.9950248756218906,21.99812772386678,18.734168096950498,3.139327302608131,5.873375201583623,-14.61904718042052,26.729800922428698,55,0.73
90,1h,0.25,201,54,200,0.9950248756218906,21.99812772386678,18.734168096950498,3.139327302608131,5.873375201583623,-14.61904718042052,26.729800922428698,55,0.73
90,1h,0.5,201,54,200,0.9950248756218906,21.99812772386678,18.734168096950498,3.139327302608131,5.873375201583623,-14.61904718042052,26.729800922428698,55,0.73
90,6h,0.1,434,59,432,0.9953917050691244,24.063239237933075,17.30624540850989,3.5646843919068267,-0.6975977933227389,-20.22571929790753,18.88609063569197,62,0.7453703703703703
90,6h,0.25,434,59,433,0.9976958525345622,24.063239237933075,17.36705341262801,3.559295531392337,-0.9684202430727249,-20.718636542922884,18.637164419176763,62,0.74364896073903
90,6h,0.5,434,59,433,0.9976958525345622,24.063239237933075,17.36705341262801,3.559295531392337,-0.9684202430727249,-20.718636542922884,18.637164419176763,62,0.74364896073903
90,24h,0.1,785,59,768,0.978343949044586,22.22782066436446,15.9273603588872,3.34211587708244,13.45861691766614,-0.7926097132267772,28.20966097460786,76,0.7122395833333334
90,24h,0.25,785,59,782,0.9961783439490446,22.22782066436446,15.502406139760726,3.34211587708244,12.38116769043223,-2.0064125523251946,27.72742720168563,76,0.7097186700767263
90,24h,0.5,785,59,783,0.9974522292993631,22.22782066436446,15.489637202209527,3.326090630052512,12.328989665733953,-2.0811945559289877,27.711087744981935,76,0.7100893997445722
