case,phase,bucket_start,price_close,price_trade_count,tvl_token_close,volume_turnover,net_lp_flow_ratio,withdrawal_ratio,liquidity_removed_token,net_lp_flow_token,future_24h_log_return,gross_lp_activity_ratio,actual_transfer_net_ratio,actual_transfer_net_token
CEL,incident_preceding,2022-05-14 02:00:00+00:00,0.0003949115092,4,185190.116,,,,0,0,-0.07271014533,,,-107.2248
CEL,incident_preceding,2022-05-14 03:00:00+00:00,0.0003992089722,15,184140.2735,0.1601205007,0,0,0,0,-0.1309503711,0,-0.005668998555,-1049.8425
CEL,incident_preceding,2022-05-14 04:00:00+00:00,0.0003994212447,7,183787.085,0.1349494569,0,0,0,0,-0.1536300953,0,-0.001918040488,-353.1885
CEL,incident_preceding,2022-05-14 05:00:00+00:00,0.0003985830811,1,1245521.87,0.0004183721615,0.0003735382168,0.01453324046,2671.0219,68.6515,-0.1425728349,0.02944001914,0.0004183721615,76.8914
CEL,incident_preceding,2022-05-14 06:00:00+00:00,0.0003886960162,9,1248762.807,0.02128478443,0,0,0,0,-0.1316892217,0,0.002602071934,3240.9375
CEL,incident_preceding,2022-05-14 07:00:00+00:00,0.0003928554182,1,1246505.744,0.001807439481,0,0,0,0,-0.118347701,0,-0.001807439481,-2257.0632
CEL,incident_preceding,2022-05-14 08:00:00+00:00,0.0003924965639,4,1247211.405,0.00256512047,0,0,0,0,-0.1346968141,0,0.0005661111499,705.6608
CEL,incident_preceding,2022-05-14 09:00:00+00:00,0.0003911052616,13,1247609.602,0.0196501347,0,0,0,0,-0.1269531826,0,0.0003192702524,398.1975
CEL,incident_preceding,2022-05-14 10:00:00+00:00,0.0003859651483,3,1248888.891,0.004362222758,0,0,0,0,-0.1375119246,0,0.001025391916,1279.2888
CEL,incident_preceding,2022-05-14 11:00:00+00:00,0.0003908768079,7,1248310.954,0.005439143345,0,0,0,0,-0.1655498997,0,-0.0004627605419,-577.9365
CEL,incident_preceding,2022-05-14 12:00:00+00:00,0.0003861004104,10,1223942.603,0.04379408953,-0.01899414206,0.01899414206,23710.5956,-23710.5956,-0.1094972778,0.01899414206,-0.01952105917,-24368.352
CEL,incident_preceding,2022-05-14 13:00:00+00:00,0.0003944270824,8,1248813.826,0.005314852336,0.01980338739,0,0,24238.2095,-0.1470495783,0.01980338739,0.02032058027,24871.2239
CEL,incident_preceding,2022-05-14 14:00:00+00:00,0.0004158384085,34,1237318.139,0.05701111038,0,0,0,0,-0.191967825,0,-0.009205285253,-11495.6875
CEL,incident_preceding,2022-05-14 15:00:00+00:00,0.0004190362225,18,1232691.948,0.03154623962,0,0,0,0,-0.1950205213,0,-0.00373888538,-4626.1907
CEL,incident_preceding,2022-05-14 16:00:00+00:00,0.000417850936,8,1235979.627,0.01414042683,0,0,0,0,-0.1463768066,0,0.002667072422,3287.6787
CEL,incident_preceding,2022-05-14 17:00:00+00:00,0.0004003874463,27,1246339.661,0.0575291612,0,0,0,0,0.02069258687,0,0.008382043016,10360.0344
CEL,incident_preceding,2022-05-14 18:00:00+00:00,0.0003887932033,25,1252818.576,0.04705980779,0,0,0,0,-0.02504697921,0,0.005198354109,6478.9149
CEL,incident_preceding,2022-05-14 19:00:00+00:00,0.0003866630319,17,1254699.039,0.02884194407,-0.0004435831417,0.0004435831417,555.7292,-555.7292,0.01357784911,0.0004435831417,0.001500985646,1880.4627
CEL,incident_preceding,2022-05-14 20:00:00+00:00,0.0003835673152,3,1255880.601,0.000941709337,0,0,0,0,0.1166755593,0,0.000941709337,1181.5618
CEL,incident_preceding,2022-05-14 21:00:00+00:00,0.0003746020338,40,1259778.958,0.1222022843,0,0,0,0,0.1355926434,0,0.003104082823,3898.3574
CEL,incident_preceding,2022-05-14 22:00:00+00:00,0.0003814951072,37,1256630.118,0.06569923681,0,0,0,0,0.1716103836,0,-0.002499517618,-3148.8397
