case,rank,selected_top_n,hour_utc,net_lp_flow_ratio,future_24h_log_return,future_24h_simple_return,price_close_weth_per_target,prior_reserve_target,lp_add_target,lp_remove_target,net_lp_target,lp_add_weth,lp_remove_weth,lp_add_target_value_weth,target_value_share_of_add,target_only_add_target,target_only_add_share,actual_transfer_net_to_pool_target,signed_swap_net_to_pool_target,transfer_minus_swap_minus_lp_target,lp_event_count,lp_transaction_count,largest_add_transaction_share,same_tx_recycled_target,versions_with_lp_events,beneficial_owner_known
FTT,1,True,2022-11-06T02:00:00Z,2.2576974972422006,-0.028265097298908033,-0.027869376563237402,0.014559044871200782,10278.260025567331,23862.83214060318,657.6302048752578,23205.20193572792,0.0,0.0,347.4200438889739,1.0,23862.83214060318,1.0,23231.554325250214,44.115396508473346,-17.76300698617991,2,2,1.0,0.0,v3,False
FTT,2,True,2022-11-07T05:00:00Z,0.42408474183196176,-0.2642091047364893,-0.2321870304593635,0.013828390523545476,9967.474090875145,4328.371002992618,101.31732644706426,4227.053676545554,72.60130883349835,1.2665554960890923,59.85440456017214,0.4518823916812058,0.0,0.0,4499.336330176502,6594.793362422501,-6322.510708791553,4,4,0.9531845461597382,0.0,v3,False
FTT,3,True,2022-10-31T13:00:00Z,0.0750257678485522,-0.006819655688813113,-0.006796454608043012,0.016386973094913344,7863.842993218832,589.9908588067,0.0,589.9908588067,7.093924864367732,0.0,9.66816432951021,0.5767875482395916,0.0,0.0,440.16416050076566,149.82669830593431,-299.6533966118686,1,1,1.0,0.0,v3,False
FTT,4,True,2022-11-07T06:00:00Z,0.06013536604033887,-0.1778710578072426,-0.1629496523620969,0.013946174493272848,14466.810421051647,869.9669401061296,0.0,869.9669401061296,16.761541544685354,0.0,12.132710750098733,0.4199004918458782,0.0,0.0,718.4955129996144,1769.4082540887732,-1920.8796811952886,4,4,0.7525580215012762,0.0,v3,False
FTT,5,True,2022-10-26T08:00:00Z,0.044474021395564965,-0.01726586173323277,-0.017117660906675547,0.0159996460633059,7717.579873978111,343.2318124372841,0.0,343.2318124372841,1.7427334232014224,0.0,5.491587516663541,0.7591020031198737,0.0,0.0,426.9925489744735,83.76073653718939,2.9532e-14,1,1,1.0,0.0,v3,False
FTT,6,False,2022-11-07T08:00:00Z,0.039008923649507816,-0.160054293840722,-0.14790247593697803,0.014425976320899528,14607.063647252047,1867.472717573273,1297.6668870141168,569.8058305591562,31.584029036346784,30.314742074176984,26.94011720363793,0.46032482205151715,0.0,0.0,118.22470976868317,11219.598318368042,-11671.179439158514,14,12,0.3628232680704696,0.0,v3,False
FTT,7,False,2022-11-04T03:00:00Z,0.01252295064546704,-0.002555438408725204,-0.0025521760555007322,0.01565974721323458,8834.179989365764,110.63,0.0,110.63,1.3003699098794714,0.0,1.7324378342001416,0.5712323300354458,0.0,0.0,175.95999999999998,65.33,-2.0012e-14,1,1,1.0,0.0,v3,False
FTT,8,False,2022-11-07T07:00:00Z,0.009398181923502722,-0.16067202864579555,-0.1484286836897537,0.014268201361968607,15185.305934051263,142.7142677322592,0.0,142.7142677322592,2.2098861664002634,0.0,2.036275909229773,0.4795568028164904,0.0,0.0,-578.2422867992245,37728.70114164343,-38449.657696174916,2,2,0.5024322543268938,0.0,v3,False
FTT,9,False,2022-11-07T10:00:00Z,0.008415644701768593,-0.19559443648463237,-0.17765431953809052,0.014346444005725432,15013.498401259567,834.6890393915028,708.3407711159315,126.34826827557131,10.031756021408697,10.794681494718139,11.974819565822944,0.5441473398873932,0.0,0.0,76.43857478956443,2713.166177368334,-2763.075870854341,5,5,0.8500826902109895,0.0,v3,False
FTT,10,False,2022-11-07T04:00:00Z,0.005027646903039333,-0.2491370173857412,-0.22052683530773798,0.014119075376014836,9927.175120869386,49.91033125236809,0.0,49.91033125236809,1.3313586768363894,0.0,0.704687728994054,0.346105927141986,0.0,0.0,40.29897000575704,920.2530224169145,-929.8643836635256,1,1,1.0,0.0,v3,False
FTT,11,False,2022-11-07T11:00:00Z,0.0007289626204177844,-0.22176435873183986,-0.19889588471531683,0.014258902955144436,15089.936976049143,11.0,0.0,11.0,0.15496290985836672,0.0,0.1568479325065888,0.5030227022157487,0.0,0.0,264.0666663470288,671.8887508817543,-418.8220845347255,1,1,1.0,0.0,v3,False
CEL,1,True,2022-05-14T13:00:00Z,0.01980338738964681,-0.1470495782637212,-0.13674882213918926,0.0003944270824209265,1223942.6025,24238.2095,0.0,24238.2095,2.128096113142524,0.0,9.560206256192183,0.817929409601366,0.0,0.0,24871.223899999997,3970.4218,-3337.407400000003,1,1,1.0,0.0,v3,False
