case,hour_rank,hour_utc,transaction_hash,block_number,tx_from,tx_to,pool_address,fee,pool_event,pool_position_owner,tick_lower,tick_upper,position_manager_event,nft_token_id,owner_at_block,owner_source,current_price_weth_per_target,range_lower_weth_per_target,range_upper_weth_per_target,inventory_shape_at_hour_close,amount0_raw,amount1_raw,manager_match_exact_amounts
FTT,1,2022-11-06T02:00:00Z,0x170fe56b9f422442d70e74d282c36aec335d99886ac1de3149234ca8ecb28d05,15907948,0x8a039340b3caa9249ed5201c197a0c4c4c4efd25,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xb404057ee4b1d7359ca5a57ac1c020b74c23e56b,3000,Burn,0xc36442b4a4522e871399cd717abdd847ab11fe88,-42240,-40680,DecreaseLiquidity,346040,0x8a039340b3caa9249ed5201c197a0c4c4c4efd25,historical_ownerOf,0.014559044871200782,0.014643059440897712,0.017115058078849017,target_only_below_range,657630204875257829412,0,True
FTT,1,2022-11-06T02:00:00Z,0xdb02be35e4708f15f671d15367fed22fa3922fb658cdaf96e19f796d4e439010,15907870,0x74f53ed1175715d126c0c95d3b1b20f67c8a1273,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xb404057ee4b1d7359ca5a57ac1c020b74c23e56b,3000,Mint,0xc36442b4a4522e871399cd717abdd847ab11fe88,-42240,-42180,IncreaseLiquidity,354342,0x74f53ed1175715d126c0c95d3b1b20f67c8a1273,same_receipt_transfer,0.014559044871200782,0.014643059440897712,0.014731177481495534,target_only_below_range,23862832140603178389139,0,True
FTT,2,2022-11-07T05:00:00Z,0xadf1f2f6fa4943c449e19f4efe683ec34f18df53483b02086616f395c3b2d9bf,15916002,0x01f0831120ab81f91109e099afb551a091c4c05a,0xc36442b4a4522e871399cd717abdd847ab11fe88,0x9d2713fa2f387ed1284a4176e7841253b4da2a71,10000,Burn,0xc36442b4a4522e871399cd717abdd847ab11fe88,-48800,-35800,DecreaseLiquidity,355173,0x01f0831120ab81f91109e099afb551a091c4c05a,historical_ownerOf,0.013828390523545476,0.007598867801571706,0.027880688119170376,two_sided_in_range,101317326447064259585,1266555496089092357,True
FTT,2,2022-11-07T05:00:00Z,0xead43ccd6fb8abea815993bca9091529d9f441c3dfdac758c0e7676817f136ad,15915923,0x01f0831120ab81f91109e099afb551a091c4c05a,0xc36442b4a4522e871399cd717abdd847ab11fe88,0x9d2713fa2f387ed1284a4176e7841253b4da2a71,10000,Mint,0xc36442b4a4522e871399cd717abdd847ab11fe88,-48800,-35800,IncreaseLiquidity,355173,0x01f0831120ab81f91109e099afb551a091c4c05a,same_receipt_transfer,0.013828390523545476,0.007598867801571706,0.027880688119170376,two_sided_in_range,101317326447064259586,1266555496089092358,True
FTT,2,2022-11-07T05:00:00Z,0xb2eacc929eebf127f8fca11cf79d6dce5d42382c47adf79d2c9d6ac71ed866b0,15916131,0x053ab16a247321e312f3a8a2a0a8abda48707241,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xb404057ee4b1d7359ca5a57ac1c020b74c23e56b,3000,Mint,0xc36442b4a4522e871399cd717abdd847ab11fe88,-46500,-39720,IncreaseLiquidity,355198,0x053ab16a247321e312f3a8a2a0a8abda48707241,same_receipt_transfer,0.013828390523545476,0.009563825113221285,0.018839464887455946,two_sided_in_range,4125736350098489450396,70000000000000000000,True
FTT,2,2022-11-07T05:00:00Z,0xc39a3dd49014b8eb1cd77faf7e70a7cdccb5587943d578c7b9ed2e2ced080d81,15916015,0x01f0831120ab81f91109e099afb551a091c4c05a,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xb404057ee4b1d7359ca5a57ac1c020b74c23e56b,3000,Mint,0xc36442b4a4522e871399cd717abdd847ab11fe88,-48120,-37020,IncreaseLiquidity,355187,0x01f0831120ab81f91109e099afb551a091c4c05a,same_receipt_transfer,0.013828390523545476,0.008133536826289913,0.02467869613096663,two_sided_in_range,101317326447064259582,1334753337409254972,True
FTT,3,2022-10-31T13:00:00Z,0x4e207809838d19ff307daba753b5c624f8aea0c26386ea4a2805284aded4a6b0,15868399,0x8eab1448f99e102067b8d370b7f413d0f14e4b7d,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xb404057ee4b1d7359ca5a57ac1c020b74c23e56b,3000,Mint,0xc36442b4a4522e871399cd717abdd847ab11fe88,-43800,-37800,IncreaseLiquidity,349801,0x8eab1448f99e102067b8d370b7f413d0f14e4b7d,same_receipt_transfer,0.016386973094913344,0.012528101792108162,0.022827005033833486,two_sided_in_range,589990858806699951671,7093924864367732118,True
FTT,4,2022-11-07T06:00:00Z,0xc004aa664131f3617ce39df0acce52fa5badaba72111de1e1da9b2734f336b87,15916252,0x053ab16a247321e312f3a8a2a0a8abda48707241,0xc36442b4a4522e871399cd717abdd847ab11fe88,0x9d2713fa2f387ed1284a4176e7841253b4da2a71,10000,Mint,0xc36442b4a4522e871399cd717abdd847ab11fe88,-47000,-39800,IncreaseLiquidity,355207,0x053ab16a247321e312f3a8a2a0a8abda48707241,same_receipt_transfer,0.013946174493272848,0.009097414600466962,0.01868935790205183,two_sided_in_range,654700599217788171538,13000000000000000000,True
FTT,4,2022-11-07T06:00:00Z,0x6d5fc2365ec804a5d89347ce9443bd08821888253709cd5fd2906eafb64b6b4d,15916407,0x6dd91bdab368282dc4ea4f4befc831b78a7c38c0,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xb404057ee4b1d7359ca5a57ac1c020b74c23e56b,3000,Mint,0xc36442b4a4522e871399cd717abdd847ab11fe88,-43320,-42300,IncreaseLiquidity,355210,0x6dd91bdab368282dc4ea4f4befc831b78a7c38c0,historical_ownerOf,0.013946174493272848,0.013144085223458234,0.014555468499310718,two_sided_in_range,71554982307338442211,1401202852427983600,True
FTT,4,2022-11-07T06:00:00Z,0xa47ba05463ee4cbfaea646ab8c244e4bf3175fa7ab8e31ebfb63a1009e9923a6,15916296,0x6dd91bdab368282dc4ea4f4befc831b78a7c38c0,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xb404057ee4b1d7359ca5a57ac1c020b74c23e56b,3000,Mint,0xc36442b4a4522e871399cd717abdd847ab11fe88,-43320,-42300,IncreaseLiquidity,355210,0x6dd91bdab368282dc4ea4f4befc831b78a7c38c0,same_receipt_transfer,0.013946174493272848,0.013144085223458234,0.014555468499310718,two_sided_in_range,71648025833410944678,1340553379016295771,True
FTT,4,2022-11-07T06:00:00Z,0xe593748370b837334e0059ccc3d0fd98634af12530ba86862e5ae1d9da9bf728,15916366,0x6dd91bdab368282dc4ea4f4befc831b78a7c38c0,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xb404057ee4b1d7359ca5a57ac1c020b74c23e56b,3000,Mint,0xc36442b4a4522e871399cd717abdd847ab11fe88,-43320,-42300,IncreaseLiquidity,355210,0x6dd91bdab368282dc4ea4f4befc831b78a7c38c0,historical_ownerOf,0.013946174493272848,0.013144085223458234,0.014555468499310718,two_sided_in_range,72063332747592095317,1019785313241074006,True
FTT,5,2022-10-26T08:00:00Z,0x99407380b491f9a59551fdf6a9a936aa46380b7d24792fa8b263e3d68b1f4c15,15830923,0x8a039340b3caa9249ed5201c197a0c4c4c4efd25,0xc36442b4a4522e871399cd717abdd847ab11fe88,0x9d2713fa2f387ed1284a4176e7841253b4da2a71,10000,Mint,0xc36442b4a4522e871399cd717abdd847ab11fe88,-41400,-40600,IncreaseLiquidity,344744,0x8a039340b3caa9249ed5201c197a0c4c4c4efd25,same_receipt_transfer,0.0159996460633059,0.0159261476561787,0.01725252078819926,two_sided_in_range,343231812437284085942,1742733423201422349,True
CEL,1,2022-05-14T13:00:00Z,0x792c5c3a96a88086d19b17c426bd8160382357f1ffa3ba78ff31ba63f4d02f11,14773867,0x376731891c47fab75ccf690ad9afc6d3fa4a46c8,0xc36442b4a4522e871399cd717abdd847ab11fe88,0x06729eb2424da47898f935267bd4a62940de5105,3000,Mint,0xc36442b4a4522e871399cd717abdd847ab11fe88,243780,245820,IncreaseLiquidity,239116,0x376731891c47fab75ccf690ad9afc6d3fa4a46c8,same_receipt_transfer,0.0003944270824209265,0.00038610155754160926,0.00047347079795500175,two_sided_in_range,242382095,2128096113142524038,True
CEL,2,2022-05-19T03:00:00Z,0x8db65900999c773532de3745ca0cc82929ac9602d4132097c20eaa6837f2bb16,14802786,0x48f773b3094d10862c9c4dad5ef37ae89244ce87,0xc36442b4a4522e871399cd717abdd847ab11fe88,0x06729eb2424da47898f935267bd4a62940de5105,3000,Mint,0xc36442b4a4522e871399cd717abdd847ab11fe88,243720,245400,IncreaseLiquidity,241973,0x48f773b3094d10862c9c4dad5ef37ae89244ce87,same_receipt_transfer,0.00041767648866481143,0.00038379199927547126,0.00045399779347340426,two_sided_in_range,98157631,4293943788290803920,True
CEL,3,2022-05-27T23:00:00Z,0x449c9d8d48dd2e5472eb7225cd5a4c57bbdc19aa1884f88d8a1e2756ee85aefc,14856856,0x7328abfa5a662e583eef0ed5836a2469202467a2,0xc36442b4a4522e871399cd717abdd847ab11fe88,0x06729eb2424da47898f935267bd4a62940de5105,3000,Mint,0xc36442b4a4522e871399cd717abdd847ab11fe88,240420,246960,IncreaseLiquidity,245751,0x7328abfa5a662e583eef0ed5836a2469202467a2,same_receipt_transfer,0.00032426861077306635,0.0002759217293479234,0.0005306403784215091,two_sided_in_range,26872715,254804858852777207,True
CEL,4,2022-05-29T20:00:00Z,0xd0f5a0b6415cd558f0cc0d465d6531719391b080e79fd0c60101d766ea0ec27b,14868554,0x0ebfd95fb8f5b78878491c06e9f8ad1a495ea51d,0xc36442b4a4522e871399cd717abdd847ab11fe88,0x06729eb2424da47898f935267bd4a62940de5105,3000,Mint,0xc36442b4a4522e871399cd717abdd847ab11fe88,238260,244140,IncreaseLiquidity,246597,0x0ebfd95fb8f5b78878491c06e9f8ad1a495ea51d,same_receipt_transfer,0.0003497265691333121,0.0002223222787971938,0.00040025371655544816,two_sided_in_range,23300000,999651286804591151,True
CEL,5,2022-05-21T08:00:00Z,0x6271ec6dadad4a2e577f553acb4ef8e8599d7344434733a8e8f662af67f005f8,14816246,0x7328abfa5a662e583eef0ed5836a2469202467a2,0xc36442b4a4522e871399cd717abdd847ab11fe88,0x06729eb2424da47898f935267bd4a62940de5105,3000,Mint,0xc36442b4a4522e871399cd717abdd847ab11fe88,243000,258900,IncreaseLiquidity,226780,0x7328abfa5a662e583eef0ed5836a2469202467a2,historical_ownerOf,0.00039713370069699764,0.00035713159847671616,0.001751144481062345,two_sided_in_range,14364781,50883579762499712,True
CEL,5,2022-05-21T08:00:00Z,0x7e2cb836518f9e24528cf6bcd5beb1ac3dcda223d74c1f8a1b60edff9540910a,14816221,0x7328abfa5a662e583eef0ed5836a2469202467a2,0xc36442b4a4522e871399cd717abdd847ab11fe88,0x06729eb2424da47898f935267bd4a62940de5105,3000,Burn,0xc36442b4a4522e871399cd717abdd847ab11fe88,243000,258900,,,,unavailable,0.00039713370069699764,0.00035713159847671616,0.001751144481062345,two_sided_in_range,0,0,False
