case,phase,test_id,predictor,outcome,n,spearman,bootstrap_ci_low,bootstrap_ci_high,bootstrap_valid,block_permutation_p,bh_q_global_18,global_q_below_0_05
FTT,baseline,pool_transfer_net,actual_transfer_net_ratio,future_24h_log_return,142,-0.008480880821306352,-0.18589230200821827,0.24868461544772,1999,0.9336,0.9336,False
FTT,baseline,net_lp_flow,net_lp_flow_ratio,future_24h_log_return,142,-0.027971708289226786,-0.21236979002764034,0.11173177667314557,1851,0.7078,0.84936,False
FTT,baseline,gross_lp_activity,gross_lp_activity_ratio,future_abs_24h_log_return,142,0.09957928150964736,-0.0035796018067597323,0.1837125971767633,1861,0.295,0.5424923076923076,False
FTT,incident_preceding,pool_transfer_net,actual_transfer_net_ratio,future_24h_log_return,171,-0.12790217678258575,-0.22833628505703682,0.05115514603935363,1999,0.1202,0.4284,False
FTT,incident_preceding,net_lp_flow,net_lp_flow_ratio,future_24h_log_return,171,-0.29786322787117614,-0.4801708401444823,-0.010901449268948277,1999,0.0012,0.021599999999999998,True
FTT,incident_preceding,gross_lp_activity,gross_lp_activity_ratio,future_abs_24h_log_return,171,0.15643809669725545,-0.1923694922992662,0.39847286091541684,1999,0.1764,0.4284,False
CEL,baseline,pool_transfer_net,actual_transfer_net_ratio,future_24h_log_return,522,0.09152202303372632,0.03435535732563206,0.17246804196168544,1999,0.0256,0.11520000000000001,False
CEL,baseline,net_lp_flow,net_lp_flow_ratio,future_24h_log_return,522,0.11069442752996932,0.02916114823403592,0.17992667473051402,1999,0.0042,0.0378,True
CEL,baseline,gross_lp_activity,gross_lp_activity_ratio,future_abs_24h_log_return,522,-0.0316823425486875,-0.137639218837821,0.061688718828835865,1999,0.3918,0.5424923076923076,False
CEL,incident_preceding,pool_transfer_net,actual_transfer_net_ratio,future_24h_log_return,504,-0.004817019617326686,-0.07637002519712223,0.08361398864920064,1999,0.904,0.9336,False
CEL,incident_preceding,net_lp_flow,net_lp_flow_ratio,future_24h_log_return,504,-0.0855509161979038,-0.14960630837962133,0.0016233872844510688,1999,0.0176,0.10560000000000001,False
CEL,incident_preceding,gross_lp_activity,gross_lp_activity_ratio,future_abs_24h_log_return,504,0.019054339899001595,-0.04914686450855868,0.0796782139967419,1999,0.7014,0.84936,False
GALA,incident_preceding,pool_transfer_net,actual_transfer_net_ratio,future_24h_log_return,693,0.0495163718081877,-0.014740947012867782,0.12402155840913726,1999,0.1904,0.4284,False
GALA,incident_preceding,net_lp_flow,net_lp_flow_ratio,future_24h_log_return,693,0.05274492303127387,-0.03395263753962623,0.1366763974177173,1999,0.1814,0.4284,False
GALA,incident_preceding,gross_lp_activity,gross_lp_activity_ratio,future_abs_24h_log_return,693,0.03855050287424374,-0.04695791558581805,0.11935678425099035,1999,0.3378,0.5424923076923076,False
GALA,incident_following,pool_transfer_net,actual_transfer_net_ratio,future_24h_log_return,690,-0.004772719448101632,-0.08825063952773306,0.08608046276873595,1999,0.908,0.9336,False
GALA,incident_following,net_lp_flow,net_lp_flow_ratio,future_24h_log_return,690,-0.028103435256842623,-0.09209882567802798,0.03286101393317236,1999,0.3784,0.5424923076923076,False
GALA,incident_following,gross_lp_activity,gross_lp_activity_ratio,future_abs_24h_log_return,690,0.051145830619809506,-0.0701646084451688,0.15361843739612682,1999,0.3784,0.5424923076923076,False
