bucket_start,price_open,price_high,price_low,price_close,price_vwap,price_unit,price_source,price_trade_count,price_staleness_seconds,tvl_token_close,tvl_usd_close,tvl_snapshot_block,volume_token,volume_usd,swap_count,active_trader_count,liquidity_added_token,liquidity_removed_token,net_lp_flow_token,gross_lp_activity_token,recycling_share,lp_add_event_count,lp_remove_event_count,active_lp_count,lp_identity_coverage,withdrawal_amount_coverage,actual_transfer_in_token,actual_transfer_out_token,actual_transfer_net_token,pool_transfer_event_count,price_return,tvl_change,net_lp_flow_ratio,gross_lp_activity_ratio,actual_transfer_net_ratio,withdrawal_ratio,volume_turnover,close_vwap_gap,measured_pool_count,verified_pool_count,data_coverage,is_imputed
2024-05-20T19:00:00+00:00,1.4099416510699115e-05,1.4168728790025296e-05,8.430568204714244e-06,1.2424734999597294e-05,1.152819180206514e-05,WETH,pool_swap_ratio,106,169,52184132.5533318,,19913357,178451967.5044958,,106,30,6836168.52720943,0.0,6836168.52720943,6836168.52720943,0.0,2,0,,,,97340309.25405046,87948005.39168073,9392303.862369731,104,,,,,,,,0.07776962883039018,2,2,price=observed;tvl=observed;lp_amount=quantified,False
2024-05-20T20:00:00+00:00,9.745783245812305e-06,1.3602993094733502e-05,6.076233095822422e-06,1.1449178406368905e-05,9.994524095913306e-06,WETH,pool_swap_ratio,443,1,57345915.88159333,,19913671,780483038.3083153,,443,52,0.0,0.0,0.0,0.0,,1,0,,,,392822748.43350965,387660965.1052486,5161783.328261077,421,-0.08177127123156615,0.09432315251289103,0.0,0.0,0.09891480562574788,0.0,14.956328679233431,0.14554513016286563,2,2,price=observed;tvl=observed;lp_amount=quantified,False
2024-05-20T21:00:00+00:00,1.165002974159724e-05,0.0005354846777649411,7.515519285910695e-06,1.2120407434755822e-05,1.4526367105935148e-05,WETH,pool_swap_ratio,443,1,56369474.03773537,,19913969,313649651.39356256,,443,56,992029.77810077,946072.36335053,45957.41475023993,1938102.1414513001,0.9762874134611781,8,3,,,1.0,157324385.64122847,158300827.48508653,-976441.8438580632,427,0.056972624281703646,-0.01717385560306183,0.0008014069361998133,0.03379668999363535,-0.017027225546004013,0.01649764152871777,5.4694331160597365,-0.16562707341991267,2,2,price=observed;tvl=observed;lp_amount=quantified,False
2024-05-20T22:00:00+00:00,1.2014772186652306e-05,0.00025006311233486154,1.0945826959996184e-05,1.1558704851679688e-05,2.548103468907848e-05,WETH,pool_swap_ratio,110,1,57107287.35444961,,19914266,25475976.603263985,,110,19,2769902.6299612997,2079464.14526919,690438.4846921097,4849366.77523049,0.8576229605443088,4,7,,,1.0,15564205.021731913,14826391.70501767,737813.316714244,116,-0.04745177688948513,0.013003961425009388,0.012248446459335599,0.08602824237785475,0.013088880627488739,0.03688989795925958,0.4519463244629464,-0.5463800825704339,2,2,price=observed;tvl=observed;lp_amount=quantified,False
2024-05-20T23:00:00+00:00,1.1529253219886563e-05,1.1853238976328042e-05,1.1055156071560727e-05,1.1716709460265395e-05,1.1653376511825237e-05,WETH,pool_swap_ratio,56,397,56838169.865487896,,19914531,3831025.5456662904,,56,12,223442.78333910002,146031.65469812,77411.12864098002,369474.43803722004,0.7904831277307963,2,2,,,1.0,1965882.9069223902,2235000.3958841097,-269117.48896171944,57,0.013577162035947254,-0.004723628232691611,0.0013555385350473735,0.0064698299490919845,-0.004712489446248417,0.002557145707022305,0.0670847053527187,0.005434729443083874,2,2,price=observed;tvl=observed;lp_amount=quantified,False
2024-05-21T00:00:00+00:00,1.1507686281874196e-05,1.2158074199610563e-05,1.1441781882235629e-05,1.1572672311907137e-05,1.166742328933026e-05,WETH,pool_swap_ratio,81,73,57146678.89383513,,19914854,15784287.038785605,,81,19,3853506.1653679004,3631852.9626286803,221653.2027392201,7485359.127996581,0.970388434415899,4,3,,,1.0,11799314.795077192,11490805.766729947,308509.0283472445,88,-0.012369498365406446,0.005413171751219599,0.003899724485566306,0.1316959913683232,0.005427849437752059,0.06389813344137844,0.27770575787609614,-0.008120985677255055,2,2,price=observed;tvl=observed;lp_amount=quantified,False
2024-05-21T01:00:00+00:00,1.153018204604098e-05,1.1667526886852087e-05,1.1253556047001955e-05,1.1629122262706617e-05,1.1406348334187108e-05,WETH,pool_swap_ratio,31,13,57172391.76188337,,19915157,2893542.68625409,,31,9,53180.19766862,0.0,53180.19766862,53180.19766862,0.0,1,0,,,,1486218.2361474296,1460505.3680991903,25712.868048239266,32,0.004866008273906054,0.0004498439032850873,0.0009305912206624658,0.0009305912206624658,0.00044994509822710136,0.0,0.05063361060105699,0.019530696590407626,2,2,price=observed;tvl=observed;lp_amount=quantified,False
2024-05-21T02:00:00+00:00,1.1559795717505696e-05,1.1559795717505696e-05,1.1238980045719864e-05,1.1345206515076392e-05,1.1381463489311809e-05,WETH,pool_swap_ratio,41,1,57397148.60720881,,19915456,4155740.1562605095,,41,9,2909886.63857507,3404176.7797424598,-494290.1411673897,6314063.41831753,0.9217159999164055,2,2,,,1.0,5349176.231818161,5124419.38649272,224756.8453254411,45,-0.02471717061406196,0.003923505897378552,-0.008645608937020738,0.1104390287643536,0.003931212922865432,0.05954231885068716,0.07268788357794621,-0.003185616179278261,2,2,price=observed;tvl=observed;lp_amount=quantified,False
2024-05-21T03:00:00+00:00,1.1287568474461827e-05,1.1375723004478392e-05,1.0653329739464928e-05,1.1144773235223279e-05,1.1171418626197426e-05,WETH,pool_swap_ratio,67,61,57947708.93512155,,19915749,17954533.65864497,,67,10,0.0,0.0,0.0,0.0,,0,0,,,,9252546.993392581,8701986.665479837,550560.3279127441,66,-0.01782470138748256,0.009546407544523915,0.0,0.0,0.009592119839967038,0.0,0.3128122928460242,-0.002385139422818039,2,2,price=observed;tvl=observed;lp_amount=none,False
2024-05-21T04:00:00+00:00,1.1076383187713317e-05,1.1353844540113688e-05,1.1042346016495708e-05,1.1295233451656963e-05,1.117062801142325e-05,WETH,pool_swap_ratio,50,277,57648743.270823926,,19916030,7350617.613337529,,50,14,223712.43137906,429086.96610497,-205374.53472591002,652799.39748403,0.6853941110891815,2,2,,,1.0,3852534.66203036,4151500.3263279907,-298965.66429763054,54,0.01341019843185056,-0.00517258661796658,-0.0035441355404723257,0.011265318499734068,-0.005159231827997782,0.007404727020103198,0.1268491498355406,0.011154739026873806,2,2,price=observed;tvl=observed;lp_amount=quantified,False
2024-05-21T05:00:00+00:00,1.1232996564323436e-05,1.1805583326701181e-05,1.1146153751720041e-05,1.1662723041085449e-05,1.1336831232549934e-05,WETH,pool_swap_ratio,49,145,56971036.499063335,,19916341,5894829.520417271,,49,12,90380.32050079,389315.28467754,-298934.96417675004,479695.60517833,0.376823633675737,2,2,,,1.0,2848858.92861887,3526565.7003794597,-677706.7717605894,53,0.03201687233770564,-0.011825440089032588,-0.005185455002417048,0.008321007154046744,-0.011755794373119967,0.006753231078231896,0.10225425891288507,0.028746287375243318,2,2,price=observed;tvl=observed;lp_amount=quantified,False
2024-05-21T06:00:00+00:00,1.1522952867302647e-05,1.1546556808912426e-05,1.137327145668404e-05,1.1450679472193505e-05,1.1467546138853693e-05,WETH,pool_swap_ratio,25,97,57074025.66322226,,19916645,843101.82896573,,25,6,0.0,0.0,0.0,0.0,,0,0,,,,473045.49656233005,370056.33240340004,102989.16415893001,25,-0.018348619838940202,0.0018061140079641432,0.0,0.0,0.0018077460142510004,0.0,0.014798779884926115,-0.0014708174230092519,2,2,price=observed;tvl=observed;lp_amount=none,False
2024-05-21T07:00:00+00:00,1.1507652096742703e-05,1.1533340148671915e-05,1.126912619586148e-05,1.13700908706162e-05,1.1354149261319425e-05,WETH,pool_swap_ratio,32,289,57455971.84769717,,19916926,2969500.7980668102,,32,8,0.0,0.0,0.0,0.0,,0,0,,,,1675723.49127086,1293777.30679595,381946.1844749099,32,-0.007062770920064602,0.0066698263988733,0.0,0.0,0.006692119226505358,0.0,0.05202893546687941,0.0014040337967975436,2,2,price=observed;tvl=observed;lp_amount=none,False
2024-05-21T08:00:00+00:00,1.1309761160935521e-05,1.1346150665905556e-05,1.1188137918871014e-05,1.1225089361397722e-05,1.1287247187587906e-05,WETH,pool_swap_ratio,27,121,57743673.49027832,,19917237,1693077.85531284,,27,9,5556634.36879495,5697873.760335269,-141239.39154031966,11254508.129130218,0.9874504163203057,2,2,,,1.0,6617857.36176777,6330155.71918662,287701.64258114994,31,-0.012834905346205273,0.004994845945579161,-0.0024582195200650936,0.19588056327657954,0.00500734098352356,0.09916939139832233,0.02946739565733581,-0.005506907499867264,2,2,price=observed;tvl=observed;lp_amount=quantified,False
2024-05-21T09:00:00+00:00,1.1204644142462886e-05,0.00023482142521634984,1.0829163091869368e-05,1.1220761788456812e-05,6.40846395012535e-05,WETH,pool_swap_ratio,31,49,58086012.62468364,,19917541,6299673.770005929,,31,13,180831.66394643,0.0,180831.66394643,180831.66394643,0.0,2,0,,,,3411422.2841788405,3069083.1497735195,342339.134405321,31,-0.00038560114879493716,0.005911094861677427,0.003131627293799981,0.003131627293799981,0.005928599857142045,0.0,0.1090972116809738,-0.8249071559770991,2,2,price=observed;tvl=observed;lp_amount=quantified,False
2024-05-21T10:00:00+00:00,1.1171369695579522e-05,1.1217071364137743e-05,1.1054947173617942e-05,1.1157279748081208e-05,1.1132129021527116e-05,WETH,pool_swap_ratio,14,205,58161284.42543273,,19917826,232145.57375032,,14,7,134562.14070549,195679.62901553,-61117.488310040004,330241.76972102,0.81493107803513,1,2,,,1.0,357764.22437098995,282492.42362190003,75271.80074908992,17,-0.005673616304806795,0.0012950290145069142,-0.0010521894264793816,0.005685392313892172,0.001295867926680565,0.0033687908701857763,0.003996583054345682,0.0022592916867434365,2,2,price=observed;tvl=observed;lp_amount=quantified,False
2024-05-21T11:00:00+00:00,1.1091055320248031e-05,1.1180189490560356e-05,1.0750252195403792e-05,1.0843476009173465e-05,1.0967519688470292e-05,WETH,pool_swap_ratio,18,13,58578201.43796333,,19918140,665394.00667583,,18,5,0.0,192231.64309211,-192231.64309211,192231.64309211,0.0,0,2,,,1.0,645008.76602261,228091.75349200997,416917.01253060007,20,-0.028528567406975725,0.007142720939437876,-0.003305147831433569,0.003305147831433569,0.007168291014362311,0.003305147831433569,0.011440497115033914,-0.01131009406139738,2,2,price=observed;tvl=observed;lp_amount=quantified,False
2024-05-21T12:00:00+00:00,1.0807729830398996e-05,1.1041346564802533e-05,1.0680049150944666e-05,1.0680049150944666e-05,1.078407073837281e-05,WETH,pool_swap_ratio,25,145,58869082.09652865,,19918428,1264555.4319760401,,25,10,0.0,0.0,0.0,0.0,,0,0,,,,777718.0452706801,486837.38670535997,290880.65856532013,25,-0.015186173992517125,0.0049533926127123444,0.0,0.0,0.004965680943164062,0.0,0.021587474537183515,-0.009645855442880658,2,2,price=observed;tvl=observed;lp_amount=none,False
2024-05-21T13:00:00+00:00,1.0658785373504026e-05,1.0950841078306884e-05,1.061792748456984e-05,1.0950841078306884e-05,1.0786291297586683e-05,WETH,pool_swap_ratio,23,73,58429053.283079274,,19918732,1590112.0077722,,23,9,0.0,0.0,0.0,0.0,,0,0,,,,575041.5971614099,1015070.41061079,-440028.8134493801,23,0.025038828447156797,-0.007502777025162238,0.0,0.0,-0.00747470145241703,0.0,0.02701098694158108,0.015255454927034728,2,2,price=observed;tvl=observed;lp_amount=none,False
2024-05-21T14:00:00+00:00,1.1011351655513775e-05,1.133775276053406e-05,1.0736050007066137e-05,1.1337337858875607e-05,1.1105903006491626e-05,WETH,pool_swap_ratio,32,25,57487096.00834413,,19919031,3403656.22005498,,32,11,0.0,0.0,0.0,0.0,,0,0,,,,1230849.47265992,2172806.74739506,-941957.2747351399,32,0.03468524991003338,-0.016252748480352828,0.0,0.0,-0.01612138519807107,0.0,0.0582528045348402,0.0208389045220998,2,2,price=observed;tvl=observed;lp_amount=none,False
2024-05-21T15:00:00+00:00,1.1378175131210112e-05,1.1653082665322384e-05,1.0962473896307854e-05,1.122786031922888e-05,1.1462585575834334e-05,WETH,pool_swap_ratio,34,85,57721100.5391326,,19919326,3295304.215221731,,34,12,0.0,0.0,0.0,0.0,,0,0,,,,1764654.3730050998,1530649.8422166302,234004.5307884696,32,-0.009703296001202861,0.004062295211641652,0.0,0.0,0.004070557517020939,0.0,0.057322502683792284,-0.020477514000009522,2,2,price=observed;tvl=observed;lp_amount=none,False
2024-05-21T16:00:00+00:00,1.0861973551590982e-05,1.1362703167902881e-05,1.0861973551590982e-05,1.1282195845262526e-05,1.10310861929546e-05,WETH,pool_swap_ratio,28,61,57617507.04954011,,19919626,9851960.63911761,,28,14,0.0,0.0,0.0,0.0,,0,0,,,,4874183.5747625595,4977777.06435505,-103593.48959249072,28,0.004827676232104569,-0.0017963372302612925,0.0,0.0,-0.0017947247821835702,0.0,0.17068213438581917,0.02276381925728277,2,2,price=observed;tvl=observed;lp_amount=none,False
