bootstrap_block_length,bootstrap_ci_high,bootstrap_ci_low,bootstrap_valid_repetitions,bucket_count,bucket_factor,bucket_seconds,ci_excludes_zero,correlation,fdr_significant_family,fdr_significant_global,lag,lag_seconds,low_power,method,n,p_value_block_permutation,permutation_block_length,q_value_bh_global,q_value_bh_lead_lag_family,q_value_bh_selected_family,q_value_bh_zero_lag_family,x,y
3,0.40384754868083617,-0.1753623795418751,1000,31,1,86400,False,0.1598947498442873,False,False,3,259200,False,pearson,27,0.301,3,0.8893181818181817,0.9121212121212121,0.9121212121212121,,net_lp_flow_ratio,withdrawal_ratio
3,0.2762760717104286,-0.5103630600057575,1000,31,1,86400,False,-0.13382453907147246,False,False,-3,-259200,False,spearman,27,0.404,3,0.9130952380952382,0.959349593495935,0.959349593495935,,net_lp_flow_ratio,withdrawal_ratio
3,0.5236693587157851,-0.26260276593330717,1000,31,1,86400,False,0.2184996932905192,False,False,1,86400,False,pearson,29,0.263,3,0.8655696202531646,0.906896551724138,0.906896551724138,,price_return,net_lp_flow_ratio
3,0.03545837916738372,-0.441269593412192,1000,31,1,86400,False,-0.21707758371332178,False,False,3,259200,False,spearman,27,0.251,3,0.8655696202531646,0.9017543859649123,0.9017543859649123,,price_return,net_lp_flow_ratio
3,0.03611268825226485,-0.4784687031982591,1000,31,1,86400,False,-0.2422454930056299,False,False,0,0,False,pearson,30,0.198,3,0.8655696202531646,,0.726,0.726,price_return,tvl_change
3,0.07334124129105343,-0.5320162363360024,1000,31,1,86400,False,-0.23203559510567298,False,False,0,0,False,spearman,30,0.205,3,0.8655696202531646,,0.726,0.726,price_return,tvl_change
3,0.6389449947117412,0.17178207474456172,1000,31,1,86400,True,0.4127156752756272,False,False,-2,-172800,False,pearson,28,0.032,3,0.4069565217391304,0.39999999999999997,0.39999999999999997,,price_return,volume_turnover
3,0.7147146120799504,0.09848062648498576,1000,31,1,86400,True,0.4701696770662288,False,False,-2,-172800,False,spearman,28,0.012,3,0.2785714285714286,0.3,0.3,,price_return,volume_turnover
3,0.7283677767307928,-0.022386664196079313,1000,31,1,86400,False,0.4169100530756275,False,False,1,86400,False,pearson,29,0.036,3,0.4069565217391304,0.39999999999999997,0.39999999999999997,,price_return,withdrawal_ratio
3,0.6943560942479027,0.055672481567074654,1000,31,1,86400,True,0.4285516551216318,False,False,2,172800,False,spearman,28,0.015,3,0.2785714285714286,0.3333333333333333,0.3333333333333333,,price_return,withdrawal_ratio
3,0.9939395772144479,0.9333692019277843,1000,31,1,86400,True,0.9653101108630134,True,False,0,0,False,pearson,30,0.001,3,0.052000000000000005,,0.03,0.03,tvl_change,net_lp_flow_ratio
3,0.9815808702937647,0.8582473096625861,1000,31,1,86400,True,0.9658155594621026,True,False,0,0,False,spearman,30,0.001,3,0.052000000000000005,,0.03,0.03,tvl_change,net_lp_flow_ratio
3,0.5463392774658891,-0.334359337137482,1000,31,1,86400,False,0.19139070129504018,False,False,-2,-172800,False,pearson,28,0.39,3,0.9130952380952382,0.959349593495935,0.959349593495935,,tvl_change,volume_turnover
3,0.5244283080172509,-0.25797532438120824,1000,31,1,86400,False,0.1617826617826618,False,False,3,259200,False,spearman,27,0.394,3,0.9130952380952382,0.959349593495935,0.959349593495935,,tvl_change,volume_turnover
3,0.47347886289879865,-0.12336052372570794,1000,31,1,86400,False,0.24449011692013004,False,False,3,259200,False,pearson,27,0.141,3,0.7969565217391303,0.8717948717948718,0.8717948717948718,,tvl_change,withdrawal_ratio
3,0.39766674009196085,-0.1477084718316351,1000,31,1,86400,False,0.1542557041859708,False,False,3,259200,False,spearman,27,0.244,3,0.8655696202531646,0.9017543859649123,0.9017543859649123,,tvl_change,withdrawal_ratio
3,0.6461520543585672,-0.2733108145456109,1000,31,1,86400,False,0.29057484925978444,False,False,2,172800,False,pearson,28,0.165,3,0.8339622641509434,0.8717948717948718,0.8717948717948718,,volume_turnover,net_lp_flow_ratio
3,0.3226797941021789,-0.6073821298334685,1000,31,1,86400,False,-0.1676828814532054,False,False,-2,-172800,False,spearman,28,0.458,3,0.9130952380952382,0.959349593495935,0.959349593495935,,volume_turnover,net_lp_flow_ratio
3,0.6812235622473545,0.07324344335070909,1000,31,1,86400,True,0.40937080447183904,False,False,3,259200,False,pearson,27,0.004,3,0.13,0.13333333333333333,0.13333333333333333,,volume_turnover,withdrawal_ratio
3,0.6279734022642669,-0.007576885904210205,1000,31,1,86400,False,0.34707533441843424,False,False,3,259200,False,spearman,27,0.034,3,0.4069565217391304,0.39999999999999997,0.39999999999999997,,volume_turnover,withdrawal_ratio
2,0.9070370390856949,-0.34333303106625834,1000,15,2,172800,False,0.4632576716313114,False,False,0,0,True,pearson,14,0.11,2,0.7333333333333334,,0.5499999999999999,0.5499999999999999,net_lp_flow_ratio,withdrawal_ratio
2,0.8975812380926826,-0.5027027027027027,1000,15,2,172800,False,0.5146067415730337,False,False,0,0,True,spearman,14,0.062,2,0.511875,,0.378,0.378,net_lp_flow_ratio,withdrawal_ratio
