bucket_variants,ci_excludes_zero_variants,correlation_max,correlation_min,fdr_significant_family_variants,fdr_significant_global_variants,lags_seconds,method,negative_lag_variants,positive_lag_variants,same_correlation_sign_all_buckets,x,y,zero_lag_variants
3,0,0.4632576716313114,0.1598947498442873,0,0,259200;0;0,pearson,0,1,True,net_lp_flow_ratio,withdrawal_ratio,2
3,0,0.5146067415730337,-0.13382453907147246,0,0,-259200;0;0,spearman,1,0,False,net_lp_flow_ratio,withdrawal_ratio,2
3,1,0.2184996932905192,-0.8584689790846481,0,0,86400;172800;259200,pearson,0,3,False,price_return,net_lp_flow_ratio,0
3,1,-0.21707758371332178,-0.790433332862751,0,0,259200;172800;259200,spearman,0,3,True,price_return,net_lp_flow_ratio,0
3,1,-0.2422454930056299,-0.7925171715043431,0,0,0;172800;259200,pearson,0,2,True,price_return,tvl_change,1
3,0,-0.23203559510567298,-0.7619047619047619,0,0,0;0;259200,spearman,0,1,True,price_return,tvl_change,2
3,2,0.5581045506378985,0.4127156752756272,0,0,-172800;-172800;259200,pearson,2,1,True,price_return,volume_turnover,0
3,1,0.6190476190476191,0.3791208791208791,0,0,-172800;-172800;259200,spearman,2,1,True,price_return,volume_turnover,0
3,2,0.581931262877251,0.4169100530756275,0,0,86400;0;0,pearson,0,1,True,price_return,withdrawal_ratio,2
3,1,0.5188329934285483,0.3177973955064613,0,0,172800;0;0,spearman,0,1,True,price_return,withdrawal_ratio,2
3,2,0.9653101108630134,0.8113973316263506,1,0,0;0;0,pearson,0,0,True,tvl_change,net_lp_flow_ratio,3
3,2,0.9658155594621026,0.46891783532771564,1,0,0;0;0,spearman,0,0,True,tvl_change,net_lp_flow_ratio,3
3,1,0.696051252133789,-0.6559621544061947,0,0,-172800;172800;-259200,pearson,2,1,False,tvl_change,volume_turnover,0
3,1,0.6666666666666666,-0.41098901098901097,0,0,259200;0;-259200,spearman,1,1,False,tvl_change,volume_turnover,1
3,0,0.3561662541138245,0.24449011692013004,0,0,259200;172800;0,pearson,0,2,True,tvl_change,withdrawal_ratio,1
3,0,0.2928895930645031,0.1542557041859708,0,0,259200;172800;0,spearman,0,2,True,tvl_change,withdrawal_ratio,1
3,2,0.7362355292012711,-0.7403132159719988,0,0,172800;-172800;259200,pearson,1,2,False,volume_turnover,net_lp_flow_ratio,0
3,2,0.7185757571479554,-0.7127180599416806,0,0,-172800;-172800;259200,spearman,2,1,False,volume_turnover,net_lp_flow_ratio,0
3,1,0.4429081667192515,0.3692646460039349,0,0,259200;172800;259200,pearson,0,3,True,volume_turnover,withdrawal_ratio,0
3,0,0.6227656561948947,0.34707533441843424,0,0,259200;172800;259200,spearman,0,3,True,volume_turnover,withdrawal_ratio,0
