bootstrap_block_length,bootstrap_ci_high,bootstrap_ci_low,bootstrap_valid_repetitions,bucket_count,bucket_factor,bucket_seconds,ci_excludes_zero,correlation,fdr_significant_family,fdr_significant_global,lag,lag_seconds,low_power,method,n,p_value_block_permutation,permutation_block_length,q_value_bh_global,q_value_bh_lead_lag_family,q_value_bh_selected_family,q_value_bh_zero_lag_family,x,y
6,-0.5552575905946782,-0.820673807385915,1000,169,1,3600,True,-0.6790550346247084,True,False,0,0,False,pearson,168,0.001,6,0.0765,,0.0045000000000000005,0.0045000000000000005,price_return,tvl_change
6,-0.669313470099021,-0.8625411130849773,1000,169,1,3600,True,-0.7756541017710985,True,False,0,0,False,spearman,168,0.001,6,0.0765,,0.0045000000000000005,0.0045000000000000005,price_return,tvl_change
5,0.2876722993454001,0.06251468901342691,1000,169,1,3600,True,0.18881503502669827,False,False,12,43200,False,pearson,156,0.012,5,0.34971428571428576,0.576,0.576,,price_return,volume_turnover
5,0.3251817770620706,0.0349926151903659,1000,169,1,3600,True,0.18422025888637764,False,False,12,43200,False,spearman,156,0.007,5,0.272,0.512,0.512,,price_return,volume_turnover
6,0.4610642550953045,-0.15599026349724152,1000,169,1,3600,False,0.20267568213913123,False,False,0,0,False,pearson,168,0.03,6,0.5922580645161291,,0.09818181818181819,0.09818181818181819,tvl_change,volume_turnover
5,-0.08317417707021271,-0.39288823868569833,1000,169,1,3600,True,-0.2394186674321175,False,False,-16,-57600,False,spearman,152,0.005,5,0.272,0.512,0.512,,tvl_change,volume_turnover
4,-0.6242109050626776,-0.9031487585230059,1000,84,2,7200,True,-0.8026930316197092,True,False,0,0,False,pearson,83,0.001,4,0.0765,,0.0045000000000000005,0.0045000000000000005,price_return,tvl_change
4,-0.6427371773105237,-0.8971112441447686,1000,84,2,7200,True,-0.7932496536669326,True,False,0,0,False,spearman,83,0.001,4,0.0765,,0.0045000000000000005,0.0045000000000000005,price_return,tvl_change
4,0.4014602257545231,0.031338985718273114,1000,84,2,7200,True,0.23975840204612306,False,False,5,36000,False,pearson,78,0.035,4,0.612,0.768,0.768,,price_return,volume_turnover
4,0.5024645249204893,0.0871435907405989,1000,84,2,7200,True,0.308666017526777,False,False,5,36000,False,spearman,78,0.007,4,0.272,0.512,0.512,,price_return,volume_turnover
